frame_id,agent_id,pos_x,pos_y,scene_id,label,timestamp
10,0,1.2303388717999968,2.6224473779600026,0,pedestrian,0.4
20,0,1.8636778865999966,2.6491748305200025,0,pedestrian,0.8
30,0,2.483173425666663,2.6933716848000024,0,pedestrian,1.2
40,0,3.088825488999996,2.7550379408000025,0,pedestrian,1.6
50,0,3.6944775523333293,2.8167041968000026,0,pedestrian,2.0
60,0,4.273614893999995,2.7997957051870994,0,pedestrian,2.4
70,0,4.826237513999995,2.704312465961293,0,pedestrian,2.8
80,0,5.3788601339999955,2.6088292267354865,0,pedestrian,3.2
90,0,5.9680761710370325,2.5110595314666693,0,pedestrian,3.6
100,0,6.612182333629624,2.4098601521333363,0,pedestrian,4.0
110,0,7.256288496222216,2.3086607728000033,0,pedestrian,4.4
120,0,7.909815913133327,2.2673957668933364,0,pedestrian,4.8
130,0,8.56738101046666,2.25181692102667,0,pedestrian,5.2
140,0,9.224946107799994,2.236238075160003,0,pedestrian,5.6
150,0,9.894624246399992,2.236335441080003,0,pedestrian,6.0
160,0,10.569493688399993,2.243151183480003,0,pedestrian,6.4
170,0,11.244363130399991,2.249966925880003,0,pedestrian,6.8
180,0,11.875827507861102,2.2069283389611143,0,pedestrian,7.2
190,0,12.488689714805547,2.1425236109055583,0,pedestrian,7.6
200,0,13.10155192174999,2.078118882850003,0,pedestrian,8.0
210,0,13.70967603432142,2.0167380617571458,0,pedestrian,8.4
220,0,14.275157297535706,1.9825724033285743,0,pedestrian,8.8
230,0,14.84063856074999,1.9484067449000029,0,pedestrian,9.2
240,0,15.406119823964277,1.9142410864714314,0,pedestrian,9.6
250,0,15.971601087178563,1.8800754280428602,0,pedestrian,10.0
260,0,16.537082350392847,1.8459097696142888,0,pedestrian,10.4
10,1,1.3657120912307663,3.074778739938464,0,pedestrian,0.4
20,1,2.004641740461535,3.093409687476926,0,pedestrian,0.8
30,1,2.612397805999996,3.1308304412645187,0,pedestrian,1.2
40,1,3.1733934959999957,3.196435904425809,0,pedestrian,1.6
50,1,3.734389185999995,3.2620413675870994,0,pedestrian,2.0
60,1,4.309676840310339,3.2865358869586236,0,pedestrian,2.4
70,1,4.918312411344822,3.2151048708206926,0,pedestrian,2.8
80,1,5.526947982379305,3.1436738546827616,0,pedestrian,3.2
90,1,6.149771790037032,3.0571259628962992,0,pedestrian,3.6
100,1,6.793877952629623,2.94790275763704,0,pedestrian,4.0
110,1,7.437984115222216,2.8386795523777804,0,pedestrian,4.4
120,1,8.077196119727267,2.7925650903696995,0,pedestrian,4.8
130,1,8.714310627909084,2.7734972326121237,0,pedestrian,5.2
140,1,9.351425136090903,2.754429374854548,0,pedestrian,5.6
150,1,9.978187484999994,2.753306502806454,0,pedestrian,6.0
160,1,10.589421594999992,2.7791011093225833,0,pedestrian,6.4
170,1,11.200655704999992,2.804895715838712,0,pedestrian,6.8
180,1,11.823193459499992,2.8125979201857167,0,pedestrian,7.2
190,1,12.472106384499993,2.778084519471431,0,pedestrian,7.6
200,1,13.121019309499992,2.743571118757145,0,pedestrian,8.0
210,1,13.738533221999992,2.7177162148516154,0,pedestrian,8.4
220,1,14.324648121999992,2.700519807754841,0,pedestrian,8.8
230,1,14.91076302199999,2.683323400658067,0,pedestrian,9.2
240,1,15.491565353448266,2.6527933486206923,0,pedestrian,9.6
250,1,16.064398832068953,2.602262829172416,0,pedestrian,10.0
260,1,16.637232310689644,2.5517323097241404,0,pedestrian,10.4
10,2,2.9947331148749963,3.2195582977250026,0,pedestrian,0.4
20,2,3.497640631749996,3.3084824598500027,0,pedestrian,0.8
